movie_name,word_sum,token_sum
Unknown,13384,13116
Babel,4026,3964
Rust-and-Bone,8339,8413
Shes-Out-of-My-League,9770,10015
April-Fools-Day,3490,3392
Last-Tango-in-Paris,7896,7855
Ghost-Ship,3628,3805
Margin-Call,3178,3134
Inception,7526,7612
Precious,8069,8295
Magnolia,11820,11332
Starman,6250,6057
Crazylove,6857,7046
Rush-Hour,4944,4898
Warrior,2953,3093
Aladdin,94,102
Crime-Spree,4481,4592
Great-Gatsby-The,10184,9874
Ghostbusters-2,6796,6965
Station-West,6560,6454
Margaret,19217,19155
Day-the-Clown-Cried-The,7177,6767
Man-Who-Wasnt-There-The,7203,6967
Ferris-Buellers-Day-Off,9031,9306
Tin-Men,19557,19135
Looper,9012,9371
Watchmen,11697,12543
Chinatown,10273,10562
Withnail-and-I,11096,12207
Flash-Gordon,2604,2479
Pacifier-The,5919,5827
Reservoir-Dogs,5998,6200
V-for-Vendetta,5845,5960
Road-The,11001,11341
Cast-Away,5298,5420
Monte-Carlo,9902,10331
Strangers-on-a-Train,7592,7697
Sunset-Blvd,8621,8839
Syriana,7485,8043
Lord-of-Illusions,3446,3510
No-Country-for-Old-Men,0,0
Arcade,3512,3423
Game-6,4609,4801
Midnight-Cowboy,6264,6382
Notting-Hill,7743,7306
Human-Nature,7272,7470
Mud,13710,14620
Rebel-Without-A-Cause,4579,4640
Gladiator,4035,4049
Last-Samurai-The,4934,5037
Last-of-the-Mohicans-The,3316,3259
Bourne-Identity-The,4833,4350
Jason-X,2987,3040
Siege-The,11027,10738
Matrix-The,4770,4880
Friday-the-13th,1101,1114
Rachel-Getting-Married,5861,6104
Chasing-Amy,14359,14648
ParaNorman,7493,8068
American-President-The,13428,13889
Insidious,4437,4468
Nine,7264,7540
Devil-Wears-Prada-The,8500,8797
Body-Heat,7700,7679
Purple-Rain,4840,4724
American-Psycho,7960,8323
Jurassic-Park-The-Lost-World,2955,3018
Replacements-The,2800,2883
Blood-and-Wine,10969,11318
Beginners,8818,9143
Little-Nicky,4552,4671
Man-Who-Knew-Too-Much-The,7749,7949
Help-The,14826,16382
Roughshod,5559,5580
Lincoln-Lawyer-The,13815,14207
Hurt-Locker-The,6295,6407
How-to-Train-Your-Dragon,12299,13327
Gravity,5545,5646
Star-Trek-II-The-Wrath-of-Khan,3914,3978
Witness,3647,3687
Get-Carter,2840,2962
Hotel-Rwanda,7205,7650
Departed-The,9910,10169
Beavis-and-Butt-head-Do-America,4957,5110
Analyze-This,11132,11305
Horse-Whisperer-The,9806,9404
Angel-Eyes,8411,8161
Barton-Fink,6909,6706
Obsessed,6173,6234
