y,kernel,gamma,C,mean_train_score,mean_test_score,score_gap,best_score,best_params
cEXT,linear,scale,1.0,0.6298133733094973,0.5445890895071643,0.08522428380233293,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.0156280663718715,0.6308265125339704,0.5440827603932403,0.08674375214073005,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.0315003692022668,0.6325993859276421,0.5445903746064383,0.08800901132120376,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.04762072543477,0.6351319934905122,0.5435777163785902,0.09155427711192199,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.063993011664413,0.6365251200487411,0.5456017477350125,0.0909233723137286,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.080621165069912,0.6371582719394585,0.5471207350767846,0.0900375368626739,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.0975091843604738,0.6379179259425529,0.5466131208635867,0.09130480507896621,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.114661130737398,0.6381713309978274,0.5461055066503888,0.0920658243474386,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.1320811288707076,0.6399443647237075,0.5440801901946926,0.09586417452901497,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.1497733678910422,0.6404508541698399,0.5445852342093427,0.09586561996049725,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.1677421023970538,0.6407041790590102,0.5450915633232667,0.09561261573574353,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.185991653478544,0.6417175587817959,0.5445865193086166,0.09713103947317936,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.2045264097555923,0.6431108456722329,0.5435738610807686,0.09953698459146432,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.223350828433925,0.6445038920643573,0.5450928484225407,0.09941104364181663,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.2424694363767745,0.6451370439550749,0.5466118357643128,0.09852520819076205,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.2618868311934928,0.6461502633456522,0.5461042215511148,0.10004604179453735,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.2816076823451754,0.6476702126806744,0.5461042215511148,0.10156599112955955,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.3016367322675664,0.648936756960422,0.5466105506650389,0.10232620629538303,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.32197879751151,0.6496967316279331,0.5481295380068111,0.10156719362112199,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.342638769901227,0.65045662612934,0.5496459551500353,0.10081067097930463,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.3636216177106915,0.6512166809629553,0.5496459551500353,0.10157072581291993,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.384932386858393,0.6524832252427029,0.5511649424918075,0.10131828275089538,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.4065762021207706,0.6537498496885547,0.5506586133778835,0.10309123631067119,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.428558268364609,0.6541298370223102,0.5496459551500353,0.10448388187227486,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.4508838717986972,0.655396461468162,0.5486332969221872,0.10676316454597479,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.4735583812450452,0.6565365036355328,0.5486332969221872,0.10790320671334563,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.4965872494299706,0.6578029677491763,0.5491383409368373,0.10866462681233902,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.5199760142953591,0.6586895246951683,0.5481256827089893,0.11056384198617897,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.54373030033042,0.6604625584210484,0.5471117393818673,0.1133508190391811,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.567855819924253,0.6612222124241429,0.5501497140654117,0.11107249835873123,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.5923583747395544,0.6622351913164076,0.5501509991646855,0.11208419215172216,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.6172438571077898,0.6646414570991095,0.5516699865064576,0.11297147059265189,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.642518251446172,0.6667945583248491,0.5501509991646855,0.11664355916016367,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.6681876356967833,0.6681876848830777,0.5501509991646854,0.11803668571839232,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.6942581827881882,0.668440929606144,0.5506573282786095,0.11778360132753452,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.7207361621198887,0.6692010646058633,0.5511649424918075,0.11803612211405579,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.7476279410699778,0.6702141236642323,0.5511649424918075,0.1190491811724248,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.7749399865263569,0.6721139801669058,0.5526839298335796,0.11943005033332621,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.8026788664418798,0.6724939675006614,0.5531902589475036,0.11930370855315775,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.8308512514138036,0.6733806046127576,0.5536965880614277,0.11968401655132987,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.859463916287923,0.674646988560297,0.5531915440467776,0.12145544451351942,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.8885237417877707,0.675280380949327,0.5526865000321275,0.12259388091719947,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.9180377161692854,0.6765465243985538,0.5516738418042795,0.12487268259427431,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.9480129369013324,0.6774328408462333,0.5511675126903554,0.126265328155878,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,1.9784566123724907,0.6784460602368106,0.5516725567050055,0.12677350353180517,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,2.0093760636245164,0.6800925918503139,0.5511662275910815,0.12892636425923243,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,2.0407787261128902,0.6811058112408912,0.5511662275910815,0.12993958364980973,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,2.0726721514948863,0.6816124610192318,0.5511662275910815,0.13044623342815032,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,2.105064009445578,0.6827522626882903,0.5506598984771574,0.1320923642111329,0.5536965880614277,1.8308512514138036
cEXT,linear,scale,2.137962089502232,0.6837653217466592,0.5506598984771574,0.1331054232695018,0.5536965880614277,1.8308512514138036
