y,kernel,gamma,C,mean_train_score,mean_test_score,score_gap,best_score,best_params
cCON,linear,scale,0.1,0.5081053542940974,0.5081051211206067,2.331734907379257e-07,0.565340872582407,0.4
cCON,linear,scale,0.2,0.5220370207069047,0.5096241084623788,0.012412912244525898,0.565340872582407,0.4
cCON,linear,scale,0.3,0.5762411717077784,0.5450877080254449,0.031153463682333515,0.565340872582407,0.4
cCON,linear,scale,0.4,0.5925794245677043,0.565340872582407,0.027238551985297343,0.565340872582407,0.4
cCON,linear,scale,0.5,0.6020780657522387,0.5562230932339524,0.0458549725182863,0.565340872582407,0.4
cCON,linear,scale,0.6,0.6084100656560393,0.5567307074471503,0.051679358208889026,0.565340872582407,0.4
cCON,linear,scale,0.7,0.6127157069447897,0.5572383216603483,0.05547738528444146,0.565340872582407,0.4
cCON,linear,scale,0.8,0.6185414579007704,0.5587547388035726,0.059786719097197794,0.565340872582407,0.4
cCON,linear,scale,0.9,0.622340529577284,0.5587573090021205,0.06358322057516352,0.565340872582407,0.4
cCON,linear,scale,1.0,0.6266463311982428,0.5582471245903746,0.06839920660786813,0.565340872582407,0.4
