y,kernel,gamma,C,mean_train_score,mean_test_score,score_gap,best_score,best_params
cOPN,linear,scale,0.1,0.5153242318083068,0.515197584013365,0.00012664779494175882,0.6078995052367795,0.7
cOPN,linear,scale,0.2,0.609548584667431,0.5851056994152798,0.024442885252151214,0.6078995052367795,0.7
cOPN,linear,scale,0.3,0.6327253268772898,0.6013069459615755,0.03141838091571425,0.6078995052367795,0.7
cOPN,linear,scale,0.4,0.6382979934424127,0.6038475872261133,0.034450406216299356,0.6078995052367795,0.7
cOPN,linear,scale,0.5,0.6423505503403051,0.607894364839684,0.03445618550062113,0.6078995052367795,0.7
cOPN,linear,scale,0.6,0.6472898245163979,0.6063753774979117,0.04091444701848623,0.6078995052367795,0.7
cOPN,linear,scale,0.7,0.6505824067467794,0.6078995052367795,0.04268290150999987,0.6078995052367795,0.7
cOPN,linear,scale,0.8,0.6542552969753329,0.6078995052367795,0.04635579173855342,0.6078995052367795,0.7
cOPN,linear,scale,0.9,0.6574210564289207,0.6043513461414894,0.05306971028743124,0.6078995052367795,0.7
cOPN,linear,scale,1.0,0.662106925549739,0.6048563901561396,0.05725053539359948,0.6078995052367795,0.7
